key	lemma	part_of_speech	parsing	definition	strongs	alternates
δυνατον	δυνατός	adjective	nominative singular neuter	powerful, able, possible	G1415	δυνατός|adjective|accusative singular neuter
δυνατος	δυνατός	adjective	nominative singular masculine	powerful, able, possible	G1415	
δυνη	δύναμαι	verb	present middle indicative, 2nd person singular	I am powerful, am able	G1410	
δυνηθητε	δύναμαι	verb	aorist passive subjunctive, 2nd person plural	I am powerful, am able	G1410	
δυνησεσθε	δύναμαι	verb	future middle indicative, 2nd person plural	I am powerful, am able	G1410	
δυνησεται	δύναμαι	verb	future middle indicative, 3rd person singular	I am powerful, am able	G1410	
δυνηση	δύναμαι	verb	future middle indicative, 2nd person singular	I am powerful, am able	G1410	
δυνησομεθα	δύναμαι	verb	future middle indicative, 1st person plural	I am powerful, am able	G1410	
δυνησονται	δύναμαι	verb	future middle indicative, 3rd person plural	I am powerful, am able	G1410	
δυνηται	δύναμαι	verb	present middle subjunctive, 3rd person singular	I am powerful, am able	G1410	
δυνοντος	δύνω	verb	present active participle, genitive singular masculine	I sink, set	G1416	
δυνωνται	δύναμαι	verb	present middle subjunctive, 3rd person plural	I am powerful, am able	G1410	
δυο	δύο	adjective	accusative plural masculine	two	G1417	δύο|adjective|nominative plural masculine;δύο|adjective|accusative plural neuter;δύο|adjective|genitive plural masculine
δυσβαστακτα	δυσβάστακτος	adjective	accusative plural neuter	difficult to carry	G1419	
δυσεντεριω	δυσεντέριον	noun	dative singular neuter			
δυσερμηνευτος	δυσερμήνευτος	adjective	nominative singular masculine	difficult to interpret	G1421	
δυσεως	δύσις	noun	genitive singular feminine			
δυσιν	δύο	adjective	dative plural masculine	two	G1417	δύο|adjective|dative plural feminine
δυσκολον	δύσκολος	adjective	nominative singular neuter	difficult	G1422	
δυσκολως	δυσκόλως	adverb	adverb	with difficulty, hardly	G1423	
δυσμων	δυσμή	noun	genitive plural feminine	a setting of the sun, the West	G1424	
δυσνοητα	δυσνόητος	adjective	nominative plural neuter	hard to understand	G1425	
δυσφημιας	δυσφημία	noun	genitive singular feminine	evil report, defamation	G1426	
δυσφημουμενοι	δυσφημέω	verb	present passive participle, nominative plural masculine			
δω	δίδωμι	verb	aorist active subjunctive, 3rd person singular	I offer, give	G1325	
δωδεκα	δώδεκα	adjective	accusative plural masculine	twelve	G1427	δώδεκα|adjective|genitive plural masculine;δώδεκα|adjective|nominative plural feminine;δώδεκα|adjective|nominative plural masculine
δωδεκατος	δωδέκατος	adjective	nominative singular masculine	twelfth	G1428	
δωδεκαφυλον	δωδεκάφυλον	noun	nominative singular neuter	the Twelve Tribes of Israel	G1429	
δωη	δίδωμι	verb	aorist active optative, 3rd person singular	I offer, give	G1325	δίδωμι|verb|aorist active subjunctive, 3rd person singular
δωμα	δῶμα	noun	accusative singular neuter	the top of the house	G1430	
δωματος	δῶμα	noun	genitive singular neuter	the top of the house	G1430	
δωματων	δῶμα	noun	genitive plural neuter	the top of the house	G1430	
δωμεν	δίδωμι	verb	aorist active subjunctive, 1st person plural	I offer, give	G1325	
δωρα	δῶρον	noun	accusative plural neuter	a gift, present	G1435	δῶρον|noun|nominative plural neuter
δωρεα	δωρεά	noun	nominative singular feminine	a free gift	G1431	δωρεά|noun|dative singular feminine
δωρεαν	δωρεάν	adverb	adverb	as a free gift, without payment, freely	G1432	δωρεά|noun|accusative singular feminine
δωρεας	δωρεά	noun	genitive singular feminine	a free gift	G1431	
δωρημα	δώρημα	noun	nominative singular neuter	a gift, bounty	G1434	
δωροις	δῶρον	noun	dative plural neuter	a gift, present	G1435	
δωρον	δῶρον	noun	accusative singular neuter	a gift, present	G1435	δῶρον|noun|nominative singular neuter
δωρω	δῶρον	noun	dative singular neuter	a gift, present	G1435	
δως	δίδωμι	verb	aorist active subjunctive, 2nd person singular	I offer, give	G1325	
δωσει	δίδωμι	verb	future active indicative, 3rd person singular	I offer, give	G1325	
δωσεις	δίδωμι	verb	future active indicative, 2nd person singular	I offer, give	G1325	
δωση	δίδωμι	verb	aorist active subjunctive, 3rd person singular	I offer, give	G1325	
δωσιν	δίδωμι	verb	aorist active subjunctive, 3rd person plural	I offer, give	G1325	
δωσομεν	δίδωμι	verb	future active indicative, 1st person plural	I offer, give	G1325	
δωσουσιν	δίδωμι	verb	future active indicative, 3rd person plural	I offer, give	G1325	
δωσω	δίδωμι	verb	future active indicative, 1st person singular	I offer, give	G1325	
δωτε	δίδωμι	verb	aorist active subjunctive, 2nd person plural	I offer, give	G1325	
εα	ἔα	particle	particle	an interjection: ho!	G1436	
εαν	ἐάν	conjunction	conjunction	if	G1437	ἐάν|particle|particle
εανπερ	ἐάνπερ	conjunction	conjunction			
εασαντες	ἐάω	verb	aorist active participle, nominative plural masculine	I allow, permit, leave	G1439	
εασει	ἐάω	verb	future active indicative, 3rd person singular	I allow, permit, leave	G1439	
εατε	ἐάω	verb	present active imperative, 2nd person plural	I allow, permit, leave	G1439	
εαυτα	ἑαυτοῦ	personal pronoun	accusative plural neuter	himself, herself, itself	G1438	
εαυταις	ἑαυτοῦ	personal pronoun	dative plural feminine	himself, herself, itself	G1438	
εαυτας	ἑαυτοῦ	personal pronoun	accusative plural feminine	himself, herself, itself	G1438	
εαυτη	ἑαυτοῦ	personal pronoun	dative singular feminine	himself, herself, itself	G1438	
εαυτην	ἑαυτοῦ	personal pronoun	accusative singular feminine	himself, herself, itself	G1438	
εαυτης	ἑαυτοῦ	personal pronoun	genitive singular feminine	himself, herself, itself	G1438	
εαυτοις	ἑαυτοῦ	personal pronoun	dative plural masculine	himself, herself, itself	G1438	
εαυτον	ἑαυτοῦ	personal pronoun	accusative singular masculine	himself, herself, itself	G1438	
εαυτου	ἑαυτοῦ	personal pronoun	genitive singular masculine	himself, herself, itself	G1438	ἑαυτοῦ|personal pronoun|genitive singular neuter
εαυτους	ἑαυτοῦ	personal pronoun	accusative plural masculine	himself, herself, itself	G1438	
εαυτω	ἑαυτοῦ	personal pronoun	dative singular masculine	himself, herself, itself	G1438	
εαυτων	ἑαυτοῦ	personal pronoun	genitive plural masculine	himself, herself, itself	G1438	ἑαυτοῦ|personal pronoun|genitive plural feminine;ἑαυτοῦ|personal pronoun|genitive plural neuter
εβαθυνεν	βαθύνω	verb	aorist active indicative, 3rd person singular	I deepen	G900	
εβαλαν	βάλλω	verb	aorist active indicative, 3rd person plural	I cast, throw, rush, put, place, drop	G906	
εβαλεν	βάλλω	verb	aorist active indicative, 3rd person singular	I cast, throw, rush, put, place, drop	G906	
εβαλλον	βάλλω	verb	imperfect active indicative, 3rd person plural	I cast, throw, rush, put, place, drop	G906	
εβαλον	βάλλω	verb	aorist active indicative, 3rd person plural	I cast, throw, rush, put, place, drop	G906	
εβαπτιζεν	βαπτίζω	verb	imperfect active indicative, 3rd person singular	I dip, submerge, baptize	G907	
εβαπτιζοντο	βαπτίζω	verb	imperfect passive indicative, 3rd person plural	I dip, submerge, baptize	G907	
εβαπτισα	βαπτίζω	verb	aorist active indicative, 1st person singular	I dip, submerge, baptize	G907	
εβαπτισαντο	βαπτίζω	verb	aorist middle indicative, 3rd person plural	I dip, submerge, baptize	G907	
εβαπτισεν	βαπτίζω	verb	aorist active indicative, 3rd person singular	I dip, submerge, baptize	G907	
εβαπτισθη	βαπτίζω	verb	aorist passive indicative, 3rd person singular	I dip, submerge, baptize	G907	
εβαπτισθημεν	βαπτίζω	verb	aorist passive indicative, 1st person plural	I dip, submerge, baptize	G907	
εβαπτισθησαν	βαπτίζω	verb	aorist passive indicative, 3rd person plural	I dip, submerge, baptize	G907	
εβαπτισθητε	βαπτίζω	verb	aorist passive indicative, 2nd person plural	I dip, submerge, baptize	G907	
εβαρηθημεν	βαρέω	verb	aorist passive indicative, 1st person plural	I weight, load, burden	G916	
εβασανιζεν	βασανίζω	verb	imperfect active indicative, 3rd person singular	I torment, torture, buffet	G928	
εβασανισαν	βασανίζω	verb	aorist active indicative, 3rd person plural	I torment, torture, buffet	G928	
εβασιλευσαν	βασιλεύω	verb	aorist active indicative, 3rd person plural	I rule, reign, reign over	G936	
εβασιλευσας	βασιλεύω	verb	aorist active indicative, 2nd person singular	I rule, reign, reign over	G936	
εβασιλευσατε	βασιλεύω	verb	aorist active indicative, 2nd person plural	I rule, reign, reign over	G936	
εβασιλευσεν	βασιλεύω	verb	aorist active indicative, 3rd person singular	I rule, reign, reign over	G936	
εβασκανεν	βασκαίνω	verb	aorist active indicative, 3rd person singular	I give the evil eye to, fascinate, bewitch, overpower	G940	
εβασταζεν	βαστάζω	verb	imperfect active indicative, 3rd person singular	I carry, carry away, bear	G941	
εβασταζετο	βαστάζω	verb	imperfect passive indicative, 3rd person singular	I carry, carry away, bear	G941	
εβαστασαν	βαστάζω	verb	aorist active indicative, 3rd person plural	I carry, carry away, bear	G941	
εβαστασας	βαστάζω	verb	aorist active indicative, 2nd person singular	I carry, carry away, bear	G941	
εβαστασεν	βαστάζω	verb	aorist active indicative, 3rd person singular	I carry, carry away, bear	G941	
εβδελυγμενοις	βδελύσσομαι	verb	perfect middle participle, dative plural masculine			
εβδομη	ἕβδομος	adjective	dative singular feminine	seventh	G1442	
εβδομηκοντα	ἑβδομήκοντα	adjective	accusative plural masculine	seventy	G1440	ἑβδομήκοντα|adjective|dative plural feminine;ἑβδομήκοντα|adjective|nominative plural feminine;ἑβδομήκοντα|adjective|nominative plural masculine
εβδομηκοντακις	ἑβδομηκοντάκις	adverb	adverb	seventy times	G1441	
εβδομην	ἕβδομος	adjective	accusative singular feminine	seventh	G1442	
εβδομης	ἕβδομος	adjective	genitive singular feminine	seventh	G1442	
εβδομος	ἕβδομος	adjective	nominative singular masculine	seventh	G1442	
εβδομου	ἕβδομος	adjective	genitive singular masculine	seventh	G1442	
εβεβαιωθη	βεβαιόω	verb	aorist passive indicative, 3rd person singular	I confirm, ratify	G950	
εβεβλητο	βάλλω	verb	pluperfect passive indicative, 3rd person singular	I cast, throw, rush, put, place, drop	G906	
εβερ	Ἔβερ	noun	genitive singular masculine	Eber	G1443	
εβλαστησεν	βλαστάνω	verb	aorist active indicative, 3rd person singular	I sprout, cause to sprout, make to grow up	G985	
εβλασφημει	βλασφημέω	verb	imperfect active indicative, 3rd person singular	I speak evil against, blaspheme	G987	
εβλασφημησαν	βλασφημέω	verb	aorist active indicative, 3rd person plural	I speak evil against, blaspheme	G987	
εβλασφημησεν	βλασφημέω	verb	aorist active indicative, 3rd person singular	I speak evil against, blaspheme	G987	
εβλασφημουν	βλασφημέω	verb	imperfect active indicative, 3rd person plural	I speak evil against, blaspheme	G987	
εβλεπεν	βλέπω	verb	imperfect active indicative, 3rd person singular	I look, see	G991	
εβλεπον	βλέπω	verb	imperfect active indicative, 3rd person plural	I look, see	G991	
εβλεψα	βλέπω	verb	aorist active indicative, 1st person singular	I look, see	G991	
εβληθη	βάλλω	verb	aorist passive indicative, 3rd person singular	I cast, throw, rush, put, place, drop	G906	
εβληθησαν	βάλλω	verb	aorist passive indicative, 3rd person plural	I cast, throw, rush, put, place, drop	G906	
εβοηθησα	βοηθέω	verb	aorist active indicative, 1st person singular	I come to the rescue of	G997	
εβοηθησεν	βοηθέω	verb	aorist active indicative, 3rd person singular	I come to the rescue of	G997	
εβοησεν	βοάω	verb	aorist active indicative, 3rd person singular	I shout, call aloud	G994	
εβουλετο	βούλομαι	verb	imperfect middle indicative, 3rd person singular	I will, intend, desire	G1014	
εβουλευοντο	βουλεύομαι	verb	imperfect middle indicative, 3rd person plural			
εβουλευσαντο	βουλεύομαι	verb	aorist middle indicative, 3rd person plural			
εβουληθη	βούλομαι	verb	aorist passive indicative, 3rd person singular	I will, intend, desire	G1014	
εβουληθην	βούλομαι	verb	aorist passive indicative, 1st person singular	I will, intend, desire	G1014	
εβουλομην	βούλομαι	verb	imperfect middle indicative, 1st person singular	I will, intend, desire	G1014	
εβουλοντο	βούλομαι	verb	imperfect middle indicative, 3rd person plural	I will, intend, desire	G1014	
εβραιδι	Ἑβραΐς	adjective	dative singular feminine	the Hebrew language, Aramaic	G1446	
εβραιοι	Ἑβραῖος	noun	nominative plural masculine	a Hebrew	G1445	
εβραιος	Ἑβραῖος	noun	nominative singular masculine	a Hebrew	G1445	
εβραιους	Ἑβραῖος	noun	accusative plural masculine	a Hebrew	G1445	
εβραιστι	Ἑβραϊστί	adverb	adverb	in the Hebrew or Aramaic dialect	G1447	
εβραιων	Ἑβραῖος	noun	genitive plural masculine	a Hebrew	G1445	
εβρεξεν	βρέχω	verb	aorist active indicative, 3rd person singular	I moisten, rain, send rain	G1026	
εβρυχον	βρύχω	verb	imperfect active indicative, 3rd person plural	I grind or gnash	G1031	
εγαμησεν	γαμέω	verb	aorist active indicative, 3rd person singular	I marry	G1060	
εγαμιζοντο	γαμίζω	verb	imperfect passive indicative, 3rd person plural			
εγαμουν	γαμέω	verb	imperfect active indicative, 3rd person plural	I marry	G1060	
εγγεγραμμενη	ἐγγράφω	verb	perfect passive participle, nominative singular feminine	I write, inscribe	G1449	
εγγεγραπται	ἐγγράφω	verb	perfect passive indicative, 3rd person singular	I write, inscribe	G1449	
εγγιει	ἐγγίζω	verb	future active indicative, 3rd person singular	I come near, approach	G1448	
εγγιζει	ἐγγίζω	verb	present active indicative, 3rd person singular	I come near, approach	G1448	
εγγιζειν	ἐγγίζω	verb	present active infinitive	I come near, approach	G1448	
εγγιζομεν	ἐγγίζω	verb	present active indicative, 1st person plural	I come near, approach	G1448	
εγγιζοντες	ἐγγίζω	verb	present active participle, nominative plural masculine	I come near, approach	G1448	
εγγιζοντι	ἐγγίζω	verb	present active participle, dative singular masculine	I come near, approach	G1448	
εγγιζοντος	ἐγγίζω	verb	present active participle, genitive singular masculine	I come near, approach	G1448	
εγγιζοντων	ἐγγίζω	verb	present active participle, genitive plural masculine	I come near, approach	G1448	
εγγιζουσαν	ἐγγίζω	verb	present active participle, accusative singular feminine	I come near, approach	G1448	
εγγιζουσιν	ἐγγίζω	verb	present active indicative, 3rd person plural	I come near, approach	G1448	
εγγισαι	ἐγγίζω	verb	aorist active infinitive	I come near, approach	G1448	
εγγισαντος	ἐγγίζω	verb	aorist active participle, genitive singular masculine	I come near, approach	G1448	
εγγισας	ἐγγίζω	verb	aorist active participle, nominative singular masculine	I come near, approach	G1448	
εγγισατε	ἐγγίζω	verb	aorist active imperative, 2nd person plural	I come near, approach	G1448	
εγγυος	ἔγγυος	adjective	nominative singular masculine	a surety, security	G1450	
εγγυς	ἐγγύς	adverb	adverb	near	G1451	ἐγγύς|preposition|preposition
εγγυτερον	ἐγγύτερον	adverb	adverb	nearer	G1452	
εγεγονει	γίνομαι	verb	pluperfect active indicative, 3rd person singular	I come into being, am born	G1096	
εγειραι	ἐγείρω	verb	aorist active infinitive	I wake, arouse, raise up	G1453	
εγειραντα	ἐγείρω	verb	aorist active participle, accusative singular masculine	I wake, arouse, raise up	G1453	
εγειραντος	ἐγείρω	verb	aorist active participle, genitive singular masculine	I wake, arouse, raise up	G1453	
εγειρας	ἐγείρω	verb	aorist active participle, nominative singular masculine	I wake, arouse, raise up	G1453	
εγειρε	ἐγείρω	verb	present active imperative, 2nd person singular	I wake, arouse, raise up	G1453	
εγειρει	ἐγείρω	verb	present active indicative, 3rd person singular	I wake, arouse, raise up	G1453	
εγειρειν	ἐγείρω	verb	present active infinitive	I wake, arouse, raise up	G1453	
εγειρεσθε	ἐγείρω	verb	present passive imperative, 2nd person plural	I wake, arouse, raise up	G1453	
εγειρεται	ἐγείρω	verb	present passive indicative, 3rd person singular	I wake, arouse, raise up	G1453	
εγειρετε	ἐγείρω	verb	present active imperative, 2nd person plural	I wake, arouse, raise up	G1453	
εγειρηται	ἐγείρω	verb	present passive subjunctive, 3rd person singular	I wake, arouse, raise up	G1453	
εγειρομαι	ἐγείρω	verb	present passive indicative, 1st person singular	I wake, arouse, raise up	G1453	
εγειρονται	ἐγείρω	verb	present passive indicative, 3rd person plural	I wake, arouse, raise up	G1453	
εγειροντι	ἐγείρω	verb	present active participle, dative singular masculine	I wake, arouse, raise up	G1453	
εγειρουσιν	ἐγείρω	verb	present active indicative, 3rd person plural	I wake, arouse, raise up	G1453	
εγεμισαν	γεμίζω	verb	aorist active indicative, 3rd person plural	I fill, load	G1072	
εγεμισεν	γεμίζω	verb	aorist active indicative, 3rd person singular	I fill, load	G1072	
εγεμισθη	γεμίζω	verb	aorist passive indicative, 3rd person singular	I fill, load	G1072	
εγενεσθε	γίνομαι	verb	aorist middle indicative, 2nd person plural	I come into being, am born	G1096	
εγενετο	γίνομαι	verb	aorist middle indicative, 3rd person singular	I come into being, am born	G1096	
εγενηθη	γίνομαι	verb	aorist passive indicative, 3rd person singular	I come into being, am born	G1096	
εγενηθημεν	γίνομαι	verb	aorist passive indicative, 1st person plural	I come into being, am born	G1096	
εγενηθην	γίνομαι	verb	aorist passive indicative, 1st person singular	I come into being, am born	G1096	
εγενηθησαν	γίνομαι	verb	aorist passive indicative, 3rd person plural	I come into being, am born	G1096	
εγενηθητε	γίνομαι	verb	aorist passive indicative, 2nd person plural	I come into being, am born	G1096	
εγεννηθη	γεννάω	verb	aorist passive indicative, 3rd person singular	I beget, bring forth, give birth to	G1080	
εγεννηθημεν	γεννάω	verb	aorist passive indicative, 1st person plural	I beget, bring forth, give birth to	G1080	
εγεννηθης	γεννάω	verb	aorist passive indicative, 2nd person singular	I beget, bring forth, give birth to	G1080	
εγεννηθησαν	γεννάω	verb	aorist passive indicative, 3rd person plural	I beget, bring forth, give birth to	G1080	
εγεννησα	γεννάω	verb	aorist active indicative, 1st person singular	I beget, bring forth, give birth to	G1080	
εγεννησαν	γεννάω	verb	aorist active indicative, 3rd person plural	I beget, bring forth, give birth to	G1080	
εγεννησεν	γεννάω	verb	aorist active indicative, 3rd person singular	I beget, bring forth, give birth to	G1080	
εγενομην	γίνομαι	verb	aorist middle indicative, 1st person singular	I come into being, am born	G1096	
εγενοντο	γίνομαι	verb	aorist middle indicative, 3rd person plural	I come into being, am born	G1096	
εγενου	γίνομαι	verb	aorist middle indicative, 2nd person singular	I come into being, am born	G1096	
εγερει	ἐγείρω	verb	future active indicative, 3rd person singular	I wake, arouse, raise up	G1453	
εγερεις	ἐγείρω	verb	future active indicative, 2nd person singular	I wake, arouse, raise up	G1453	
εγερθεις	ἐγείρω	verb	aorist passive participle, nominative singular masculine	I wake, arouse, raise up	G1453	
εγερθεντι	ἐγείρω	verb	aorist passive participle, dative singular masculine	I wake, arouse, raise up	G1453	
εγερθη	ἐγείρω	verb	aorist passive subjunctive, 3rd person singular	I wake, arouse, raise up	G1453	
εγερθηναι	ἐγείρω	verb	aorist passive infinitive	I wake, arouse, raise up	G1453	
εγερθησεται	ἐγείρω	verb	future passive indicative, 3rd person singular	I wake, arouse, raise up	G1453	
εγερθησονται	ἐγείρω	verb	future passive indicative, 3rd person plural	I wake, arouse, raise up	G1453	
εγερθητε	ἐγείρω	verb	aorist passive imperative, 2nd person plural	I wake, arouse, raise up	G1453	
εγερθητι	ἐγείρω	verb	aorist passive imperative, 2nd person singular	I wake, arouse, raise up	G1453	
εγερσιν	ἔγερσις	noun	accusative singular feminine	a waking up, resurrection	G1454	
εγερω	ἐγείρω	verb	future active indicative, 1st person singular	I wake, arouse, raise up	G1453	
εγευσασθε	γεύομαι	verb	aorist middle indicative, 2nd person plural	I taste, experience	G1089	
εγευσατο	γεύομαι	verb	aorist middle indicative, 3rd person singular	I taste, experience	G1089	
εγηγερμενον	ἐγείρω	verb	perfect passive participle, accusative singular masculine	I wake, arouse, raise up	G1453	
εγηγερται	ἐγείρω	verb	perfect passive indicative, 3rd person singular	I wake, arouse, raise up	G1453	
εγημα	γαμέω	verb	aorist active indicative, 1st person singular	I marry	G1060	
εγινετο	γίνομαι	verb	imperfect middle indicative, 3rd person singular	I come into being, am born	G1096	
εγινωσκεν	γινώσκω	verb	imperfect active indicative, 3rd person singular	I come to know, learn, realize	G1097	
εγινωσκον	γινώσκω	verb	imperfect active indicative, 3rd person plural	I come to know, learn, realize	G1097	
εγκαθετους	ἐγκάθετος	adjective	accusative plural masculine	a spy	G1455	
εγκαινια	ἐγκαίνια	noun	nominative plural neuter	a renewal, dedication	G1456	
εγκακειν	ἐγκακέω	verb	present active infinitive			
εγκακησητε	ἐγκακέω	verb	aorist active subjunctive, 2nd person plural			
εγκακουμεν	ἐγκακέω	verb	present active indicative, 1st person plural			
εγκακωμεν	ἐγκακέω	verb	present active subjunctive, 1st person plural			
εγκαλεισθαι	ἐγκαλέω	verb	present passive infinitive	I bring a charge against, accuse	G1458	
εγκαλειτωσαν	ἐγκαλέω	verb	present active imperative, 3rd person plural	I bring a charge against, accuse	G1458	
εγκαλεσει	ἐγκαλέω	verb	future active indicative, 3rd person singular	I bring a charge against, accuse	G1458	
εγκαλουμαι	ἐγκαλέω	verb	present passive indicative, 1st person singular	I bring a charge against, accuse	G1458	
εγκαλουμενον	ἐγκαλέω	verb	present passive participle, accusative singular masculine	I bring a charge against, accuse	G1458	
εγκαταλειπομενοι	ἐγκαταλείπω	verb	present passive participle, nominative plural masculine	I abandon, desert	G1459	
εγκαταλειποντες	ἐγκαταλείπω	verb	present active participle, nominative plural masculine	I abandon, desert	G1459	
εγκαταλειψεις	ἐγκαταλείπω	verb	future active indicative, 2nd person singular	I abandon, desert	G1459	
εγκαταλιπω	ἐγκαταλείπω	verb	aorist active subjunctive, 1st person singular	I abandon, desert	G1459	
εγκατελειφθη	ἐγκαταλείπω	verb	aorist passive indicative, 3rd person singular	I abandon, desert	G1459	
εγκατελιπεν	ἐγκαταλείπω	verb	aorist active indicative, 3rd person singular	I abandon, desert	G1459	
εγκατελιπες	ἐγκαταλείπω	verb	aorist active indicative, 2nd person singular	I abandon, desert	G1459	
εγκατελιπον	ἐγκαταλείπω	verb	aorist active indicative, 3rd person plural	I abandon, desert	G1459	
εγκατοικων	ἐγκατοικέω	verb	present active participle, nominative singular masculine	I dwell in, among	G1460	
εγκαυχασθαι	ἐγκαυχάομαι	verb	present middle infinitive			
εγκεκαινισται	ἐγκαινίζω	verb	perfect passive indicative, 3rd person singular	I consecrate, dedicate	G1457	
εγκεντρισαι	ἐγκεντρίζω	verb	aorist active infinitive	I graft in	G1461	
εγκεντρισθησονται	ἐγκεντρίζω	verb	future passive indicative, 3rd person plural	I graft in	G1461	
εγκεντρισθω	ἐγκεντρίζω	verb	aorist passive subjunctive, 1st person singular	I graft in	G1461	
εγκλημα	ἔγκλημα	noun	accusative singular neuter	an accusation, charge	G1462	
εγκληματος	ἔγκλημα	noun	genitive singular neuter	an accusation, charge	G1462	
εγκομβωσασθε	ἐγκομβόομαι	verb	aorist middle imperative, 2nd person plural	I clothe myself	G1463	
εγκοπην	ἐγκοπή	noun	accusative singular feminine	an impediment, hindrance	G1464	
εγκοπτεσθαι	ἐγκόπτω	verb	present passive infinitive	I interrupt, hinder	G1465	
εγκοπτω	ἐγκόπτω	verb	present active subjunctive, 1st person singular	I interrupt, hinder	G1465	
εγκρατεια	ἐγκράτεια	noun	dative singular feminine	self-mastery, self-control	G1466	ἐγκράτεια|noun|nominative singular feminine
εγκρατειαν	ἐγκράτεια	noun	accusative singular feminine	self-mastery, self-control	G1466	
εγκρατειας	ἐγκράτεια	noun	genitive singular feminine	self-mastery, self-control	G1466	
εγκρατευεται	ἐγκρατεύομαι	verb	present middle indicative, 3rd person singular	I exercise self-control	G1467	
εγκρατευονται	ἐγκρατεύομαι	verb	present middle indicative, 3rd person plural	I exercise self-control	G1467	
εγκρατη	ἐγκρατής	adjective	accusative singular masculine	self-controlled	G1468	
εγκριναι	ἐγκρίνω	verb	aorist active infinitive	I count among	G1469	
εγκυω	ἔγκυος	adjective	dative singular feminine	with child, pregnant	G1471	
εγνω	γινώσκω	verb	aorist active indicative, 3rd person singular	I come to know, learn, realize	G1097	
εγνωκα	γινώσκω	verb	perfect active indicative, 1st person singular	I come to know, learn, realize	G1097	
εγνωκαμεν	γινώσκω	verb	perfect active indicative, 1st person plural	I come to know, learn, realize	G1097	
εγνωκαν	γινώσκω	verb	perfect active indicative, 3rd person plural	I come to know, learn, realize	G1097	
εγνωκας	γινώσκω	verb	perfect active indicative, 2nd person singular	I come to know, learn, realize	G1097	
εγνωκατε	γινώσκω	verb	perfect active indicative, 2nd person plural	I come to know, learn, realize	G1097	
εγνωκειτε	γινώσκω	verb	pluperfect active indicative, 2nd person plural	I come to know, learn, realize	G1097	
εγνωκεν	γινώσκω	verb	perfect active indicative, 3rd person singular	I come to know, learn, realize	G1097	
εγνωκεναι	γινώσκω	verb	perfect active infinitive	I come to know, learn, realize	G1097	
εγνωκοτες	γινώσκω	verb	perfect active participle, nominative plural masculine	I come to know, learn, realize	G1097	
εγνων	γινώσκω	verb	aorist active indicative, 1st person singular	I come to know, learn, realize	G1097	
εγνωρισα	γνωρίζω	verb	aorist active indicative, 1st person singular	I make known, declare, know	G1107	
εγνωρισαμεν	γνωρίζω	verb	aorist active indicative, 1st person plural	I make known, declare, know	G1107	
εγνωρισαν	γνωρίζω	verb	aorist active indicative, 3rd person plural	I make known, declare, know	G1107	
εγνωρισας	γνωρίζω	verb	aorist active indicative, 2nd person singular	I make known, declare, know	G1107	
εγνωρισεν	γνωρίζω	verb	aorist active indicative, 3rd person singular	I make known, declare, know	G1107	
εγνωρισθη	γνωρίζω	verb	aorist passive indicative, 3rd person singular	I make known, declare, know	G1107	
εγνως	γινώσκω	verb	aorist active indicative, 2nd person singular	I come to know, learn, realize	G1097	
εγνωσαν	γινώσκω	verb	aorist active indicative, 3rd person plural	I come to know, learn, realize	G1097	
εγνωσθη	γινώσκω	verb	aorist passive indicative, 3rd person singular	I come to know, learn, realize	G1097	
εγνωσται	γινώσκω	verb	perfect passive indicative, 3rd person singular	I come to know, learn, realize	G1097	
εγογγυζον	γογγύζω	verb	imperfect active indicative, 3rd person plural	I whisper, murmur, grumble	G1111	
εγογγυσαν	γογγύζω	verb	aorist active indicative, 3rd person plural	I whisper, murmur, grumble	G1111	
εγραφη	γράφω	verb	aorist passive indicative, 3rd person singular	I write	G1125	
εγραψα	γράφω	verb	aorist active indicative, 1st person singular	I write	G1125	
εγραψαν	γράφω	verb	aorist active indicative, 3rd person plural	I write	G1125	
εγραψατε	γράφω	verb	aorist active indicative, 2nd person plural	I write	G1125	
εγραψεν	γράφω	verb	aorist active indicative, 3rd person singular	I write	G1125	
εγρηγορησεν	γρηγορέω	verb	aorist active indicative, 3rd person singular			
εγχρισαι	ἐγχρίω	verb	aorist active infinitive	I rub in, anoint	G1472	
εγω	ἐγώ	personal pronoun	nominative singular	I	G1473	
εδακρυσεν	δακρύω	verb	aorist active indicative, 3rd person singular	I shed tears, week	G1145	
εδαφιουσιν	ἐδαφίζω	verb	future active indicative, 3rd person plural	I dash to the ground	G1474	
εδαφος	ἔδαφος	noun	accusative singular neuter	the base, ground	G1475	
εδεηθη	δέω	verb	aorist passive indicative, 3rd person singular	I bind	G1210	
εδεηθην	δέω	verb	aorist passive indicative, 1st person singular	I bind	G1210	
εδει	δέω	verb	imperfect active indicative, 3rd person singular	I bind	G1210	
εδειγματισεν	δειγματίζω	verb	aorist active indicative, 3rd person singular	I hold up as an example	G1165	
εδειξα	δείκνυμι	verb	aorist active indicative, 1st person singular			
εδειξεν	δείκνυμι	verb	aorist active indicative, 3rd person singular			
εδειραν	δέρω	verb	aorist active indicative, 3rd person plural	I flay, flog, scourge, beat	G1194	
εδειτο	δέω	verb	imperfect middle indicative, 3rd person singular	I bind	G1210	
εδεξαμεθα	δέχομαι	verb	aorist middle indicative, 1st person plural	I take, receive, accept, welcome	G1209	
εδεξαντο	δέχομαι	verb	aorist middle indicative, 3rd person plural	I take, receive, accept, welcome	G1209	
